title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
"¡Ligero, nutritivo y exquisito!","Si te aburre el arroz o deseas un platillo más ligero, en RecetasGratis te sugerimos una receta muy nutritiva y original: arroz de coliflor vegano. ¡Sí leíste bien… de coliflor!El arroz de coliflor con verduras es ligero, delicioso, muy nutritivo y… ¡versátil! Además, puedes elegir dentro de un amplio repertorio de opciones al prepararlo: arroz de coliflor con espinacas, arroz de coliflor mexicano, cazuela de arroz de coliflor y vegetales, croquetas de arroz de coliflor, o arroz de coliflor español entre muchas otras exquisitas recetas.Además, la coliflor es una verdura económica, rica en nutrientes, minerales y antioxidantes. Posee importante beneficios para el organismo como propiedades antiinflamatorias, diuréticas, depurativas, protege el corazón, resulta una gran aliada durante el embarazo, beneficia la digestión e incluso previene algunos tipos de cáncer.","['1\nDesecha todas las hojas y tallos. También, elimina las partes oscuras de la coliflor con el cuchillo, luego pica 4 partes. Por último, recorta floretes pequeños. Reserva.', '2\nDeposita la coliflor picada en un colador. Lava debajo del grifo las flores de la hortaliza. Luego, debes secar los floretes muy bien. Puedes utilizar papel absorbente o una toalla limpia y seca. Es muy importante que queden bien secos, sino al procesarlos se convertirán en puré.\nTruco: Recuerda debes lavarlo muy bien porque algunas veces contiene gusanos en su interior.', '3\nUtiliza un procesador de alimentos para picar la coliflor. Tritura hasta obtener unos granos muy pequeños con aspecto semejante al arroz. Sino posees procesador o licuadora puedes rallar la hortaliza. Reserva el arroz de coliflor.', '4\nLava y pica la cebolla en cubos muy pequeños. Reserva.', '5\nEn una sartén preferiblemente antia-dherente, vierte el aceite y enciende el fuego medio-bajo. Cuando el aceite esté un poco caliente, deposita la cebolla y cocina hasta que se vea traslúcida. Calcula alrededor de 2 minutos para lograr esa apariencia. Remueve constantemente para que no se queme.', '6\nAgrega el arroz de coliflor en la sartén y ahora cocina a fuego medio. Espera 2 minutos mientras remueves. Luego, baja el fuego, tapa y cocina durante 8 minutos más.\nTruco: Para esta receta puedes utilizar aceite de coco o de oliva.', '7\nFinalmente, destapa la sartén e incorpora los vegetales, mezcla muy bien hasta que se integren por completo al arroz de coliflor. Salpimienta al gusto. Cocina por 5 minutos más sin dejar de remover.\nTruco: Los vegetales también los puedes preparar en casa, al vapor o hervidos.', '8\n¡Que delicioso arroz de coliflor paleo! Esta platillo original y sabroso lo debes servir caliente y puedes emplearlo como plato principal o acompañante de una hamburguesa de lentejas y espinacas por ejemplo. La textura del arroz es suave y consistente, además se impregna muy bien de los otros ingredientes. ¡Espero fotos de tú arroz de coliflor vegano! Te invito a degustar esta alterativa culinaria novedosa y sabrosa. Pero si prefieres la original aquí tienes la receta del arroz con coliflor de toda la vida.']","Valoración: 4,5 (2 votos)",4 comensales,10m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['1 coliflor mediana', '2 cucharadas soperas de aceite de oliva', '½ taza de cebolla picada finamente', '2 tazas de vegetales mixtos congelados o enlatados', '1 pizca de sal (al gusto)', '1 pizca de pimienta (al gusto)']",https://www.recetasgratis.net/receta-de-arroz-de-coliflor-vegano-70718.html
¡Listos en 30 minutos!,"Los guisantes con jamón  son un plato muy conocido y es una de las formas más populares de cocinar estas verduras. Esta receta de guisantes con seitán que comparto en RecetasGratis es una versión vegana del plato en la que he sustituido el jamón por el seitán, un sustituto vegetal de carne rico en proteínas a base de gluten de trigo. Es una receta sencilla y rápida de preparar, una opción ideal para un almuerzo o cena express llena de nutrientes.","['1\nCorta la cebolla en dados, el puerto en rodajas finas y pica finamente el ajo.', '2\nCorta en dados el seitán. Si quieres hacerlo tú mismo sigue esta receta de carne vegetal de trigo.', '3\nEn una olla calienta el aceite y rehoga la cebolla, el ajo y el puerro durante unos 2 minutos. Añade el seitán y sigue cocinando un minuto más.', '4\nIncorpora los guisantes a la olla y cúbrelos con el caldo de verduras. Llévalo a ebullición y cocina hasta que los guisantes queden tiernos y el caldo se reduzca durante unos 10-12 minutos. \nTruco: Si te apetece puedes dejar un poco de caldo en el fondo o dejar que se reduzca por completo.', '5\nSirve los guisantes con seitán recién hechos. Si no se te ocurre ninguna receta para acompañar este plato o completar tu comida con un postre delicioso visita mi blog Vegspiration y la encontrarás seguro.']",,2 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['500 gramos de guisantes congelados', '1 cebolla', '½ puerro', '150 gramos de seitán', '1 chorro de aceite de oliva', '2 dientes de ajo', '½ cucharadita de sal', '1 pizca de pimienta negra', '1 taza de caldo vegetal']",https://www.recetasgratis.net/receta-de-guisantes-con-seitan-70725.html
Chayotes rellenos de verduras,"Los chayotes son hortalizas de origen mexicano parecidos a las papas que se pueden consumir tanto crudos como cocidos. Tienen un sabor neutro, por tanto, se pueden combinar fácilmente con otros ingredientes y podemos agregarle sabores distintos.El chayote es una hortaliza con alto contenido en agua, fibra y vitamina C y baja en grasas, azúcares y calorías. Es perfecto para una cena ligera y se puede añadir en guisos, ensaladas, platos horneados, etc.Esta vez comparto con RecetasGratis un plato muy sencillo pero con mucho sabor: chayotes rellenos de verduras cocidos con mojo verde de cilantro y rellenos de tomates secos y setas, un plato rico y bajo en calorías. Te va a encantar la combinación de las texturas y los sabores del plato.","['1\nPela y limpia los chayotes, elimina el hueso y córtalos por la mitad a lo largo.', '2\nPrepara el mojo verde de cilantro triturando el cilantro, la sal, el ajo y un generoso chorro de aceite de oliva en la batidora. Cubre los chayotes con el mojo y déjalos reposar un poco para que cojan sabor.No dejes de probar también esta receta de mojo verde canario para marinarlos otro día.', '3\nCorta finamente los tomates secos y las setas. Rellena los huecos de los dos de las mitades.', '4\nTapa las mitades de los chayotes rellenos de vegetales con las mitades vacías. Corta dos trozos grandes de film transparente y envuélvelos.', '5\nPon a calentar una olla con abundante cantidad de agua. Cuece los chayotes rellenos vegetarianos hasta que queden blandos durante 20-25 minutos.', '6\nDesenvuelve los chayotes rellenos de verduras cocidos y sírvelos acompañados de carne, patatas u otro vegetales. También puedes ponerles una guarnición de arroz con especias al estilo hindú o de fideos udon con verduras y completar tu menú. Si quieres enterarte de todas mis nuevas recetas y descubrir las antiguas sígueme en mi blog Vegspiration.']",,2 comensales,45m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recetas mexicanas']","['4 chayotes', '½ manojo de cilantro fresco', '1 cucharadita de sal', '3 dientes de ajo', '1 chorro de aceite', '3 tomates secos', '2 setas cultivadas o champiñones']",https://www.recetasgratis.net/receta-de-chayotes-rellenos-de-verduras-70692.html
Pimiento rojo relleno vegetariano,"Este pimiento rojo relleno vegetariano es una gran opción para servir como entrante en una comida con amigos o familia. El tipo de relleno puede ser muy variado ya que se pueden utilizar todo tipo de verduras, legumbres, setas o cereales que se quieran pero, en concreto, yo he utilizado pimiento, cebolla, calabacín, champiñones y queso. Mira los ingredientes y el paso a paso y apréndelo a hacerlo fácilmente con RecetasGratis.","['1\nReúne los ingredientes necesarios para hacer estos pimientos rellenos al horno.', '2\nLava y corta los pimientos rojos un poco por encima de la mitad y retira las semillas y los filamentos de la mitad más grande. Esta parte será la que rellenaremos.', '3\nCorta en trozos pequeños la otra mitad de la verdura ya que la utilizaremos como relleno del pimiento rojo relleno al horno, y haz lo mismo con la cebolla, el calabacín y los champiñones picándolos finamente.', '4\nSaltea la cebolla en una sartén con el aceite de oliva y cuando esté dorada, añade las verduras restantes. Condimenta con sal y cocina revolviendo de vez en cuando durante 5-10 minutos.', '5\nCuando las verduras estén listas, rellénalo y cúbrelo con queso mozzarella. Mete en el horno precalentado a 200 °C el pimiento rojo relleno de verduras hasta que el queso se haya derretido.\nTruco: Espolvorea un pelín de orégano o algunas hierbas aromáticas por encima del queso para dar un toque de sabor extra.', '6\nDespués del paso anterior, el pimiento rojo relleno vegetariano estará listo. Sírvelo recién hecho y disfruta de tu comida. Puedes acompañarlo con unas croquetas de setas y una ensalada de arroz integral con verduras por ejemplo para completar tu menú.\nTruco: Para pelar los pimientos, hornéalos ligeramente antes de rellenarlos.']",Valoración: 4 (1 voto),2 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas al horno']","['2 pimiento rojo', '6 champiñones u otras setas', '1 calabacín pequeño', '½ cebolla', '1 cucharada sopera de aceite de oliva', '1 puñado de queso mozzarella rallado (u otro tipo)', 'Sal']",https://www.recetasgratis.net/receta-de-pimiento-rojo-relleno-vegetariano-70685.html
¡Pocas calorías pero mucho sabor!,Aunque prepares este plato de espinacas a la crema light verás que mantienen todo su sabor ¡porque los platos bajos en calorías no tienen por qué ser insípidos ni aburridos! Sigue leyendo el paso a paso que te mostramos en RecetasGratis y consigue un entrante ideal para perder peso o mantener tu línea de espinacas a la crema ligeras. ¡Verdaderamente deliciosas!,"['1\nColoca en una sartén, a poder ser antiadherente, las 2 cucharadas de aceite y caliéntalo. Añade la cebolla y los ajos picados y póchalos bien hasta que estén dorados.\nTruco: Si ves que el sofrito necesita más líquido añade agua el lugar de aceite y sigue pochando las verduras.', '2\nSalpimienta al gusto el sofrito de las espinacas a la crema ligeras y agrega la cucharada sopera de maicena o harina de trigo. Remueve y cocina durante unos 5 minutos con cuidado de que no se queme.\nTruco: Si eres celíaco agrega la maicena y no tendrás problemas porque es libre de gluten.', '3\nCalienta la leche desnatada si es posible y añádela a la sartén. Remueve bien con una cuchara de madera para que no se formen grumos hasta que las salsa espese, durante unos 5 minutos más o menos.', '4\nAgrega las espinacas frescas a la sartén y cocínalas mezclando con el resto de ingredientes hasta que las verduras hayan reducido y se hayan integrado todos los sabores.\nTruco: Si lo deseas puedes utilizar espinacas frescas en manojo pero de esta maneras se ahorra más tiempo porque ya van limpias y cortadas en la bolsa.', '5\nSirve las espinacas a la crema light a la mesa y, opcionalmente, puedes agregar un poco de queso bajo en grasas rallado por encima pero recuerda que si lo haces agregarás muchas calorías extra al plato.Si te sobran verduras puedes hacer unas hamburguesas de lentejas y espinacas por ejemplo y así acompañarlas como plato principal. Y si de postre preparas unas manzanas al horno con canela sin azúcar ¡perfecto!']","Valoración: 4,3 (3 votos)",2 comensales,30m,Entrante,Dificultad baja,,['Recomendada para perder peso'],"['1 cebolla', '2 dientes de ajo', '1 bolsa de espinacas limpias frescas y cortadas', '250 mililitros de leche desnatada (o vegetal sin azúcar)', '1 cucharada sopera de maicena o harina de trigo', '1 pizca de sal', '1 pizca de pimienta negra', '2 cucharadas soperas de aceite de oliva virgen extra', '1 puñado de queso bajo en grasas rallado (opcional)']",https://www.recetasgratis.net/receta-de-espinacas-a-la-crema-light-70643.html
Acelgas con patatas al vapor,"La receta de acelgas con patatas al vapor es ideal para perder peso o mantener la línea, ya que se trata de un plato sano, nutritivo y delicioso. Además, es muy fácil de hacer y podemos omitir el aceite por completo. Este plato podemos degustarlo durante la cena o como acompañamiento de otra preparación igual de saludable, como pechuga de pollo a la plancha o una hamburguesa de quinoa y berenjena, por ejemplo, si seguimos una dieta vegana o vegetariana.Sigue las instrucciones que mostramos en RecetasGratis y descubre cómo cocer acelgas con patatas al vapor, con y sin vaporera.","['1\nLo primero que debemos hacer es limpiar las acelgas y trocearlas, pelar y cortar las patatas en trozos similares, ni muy pequeños ni muy grandes para que todo se cocine a la par.', '2\nLuego, ponemos una olla con agua a calentar y, cuando empiece a hervir, colocamos la vaporera e introducimos las acelgas, las patatas, el diente de ajo pelado y picado, así como la cebolla pelada y cortada en juliana. Tanto el ajo como la cebolla son ingredientes opcionales para dar más sabor a la receta de acelgas con patatas al vapor.', '3\nTapamos y dejamos cocinar las acelgas con patatas al vapor durante 20-30 minutos aproximadamente a fuego medio. En función del tamaño de las patatas, de la cantidad y del punto de cocción que nos guste puede que tarde más o menos, por lo que iremos revisando la cocción. Además, salpimentamos al gusto.\nTruco: La tapa debe tener agujeros para que vaya saliendo el vapor.', '4\nCuando estén, servimos con pimentón dulce o picante espolvoreado por encima. También podemos mezclar las patatas con las acelgas para que se trituren un poco y todos los ingredientes se acaben de integrar. Y si no tienes vaporera, a continuación te explicamos la receta de acelgas con patatas al vapor sin este utensilio.']",,2 comensales,30m,Cena,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso', 'Recetas al vapor']","['300 gramos de acelgas', '2 patatas medianas', '1 pizca de sal', '1 pizca de pimienta', '1 pizca de pimentón en polvo (opcional)', '½ cebolla (opcional)', '1 diente de ajo (opcional)']",https://www.recetasgratis.net/receta-de-acelgas-con-patatas-al-vapor-70635.html
Berenjenas rebozadas sin gluten,"Berenjenas rebozadas sin gluten, con harina de garbanzos, ideal para personas celíacas. Las berenjenas son muy versátiles, ya que se pueden hacer de muchas maneras y rellenarlas de muchos ingredientes, pero rebozadas es una de las formas que más me gustan, puesto que quedan crujientes y ricas.Si quieres aprender a preparar estas increíbles berenjenas rebozadas crujientes fritas, quédate en RecetasGratis, toma nota de los ingredientes y sigue el paso a paso para saber cómo hacer berenjenas rebozadas sin gluten.","['1\nPreparamos los ingredientes para elaborar las berenjenas rebozadas sin gluten más rápido.', '2\nCortamos las berenjenas en rodajas, las salamos un poco y las ponemos en un escurridor durante 30 minutos.', '3\nSecamos bien las berenjenas para que al cocinarlas queden muy crujientes.', '4\nPonemos en un bol la harina de garbanzos y en otro batimos los huevos. Para rebozar las berenjenas sin gluten, las pasamos primero por la harina y luego por el huevo.', '5\nPonemos una sartén con abundante aceite y cuando esté caliente freímos las berenjenas rebozadas sin harina de trigo.', '6\nCuando las tengamos doradas las sacaremos y las iremos poniendo en un plato con papel absorbente. Así hasta que estén todas las berenjenas fritas. Las serviremos bien calientes. Esta receta de berenjenas rebozadas sin gluten es sencilla y espectacular, ideal para servir como acompañamiento o como entrante con una ensalada de judías blancas con tomate o unos tomates rellenos. Pásate por mi blog Cocinando con Montse y descubre mi recetario.']",,4 comensales,45m,Entrante,Dificultad baja,,"['Recomendada para vegetarianos', 'Receta sin gluten']","['2 berenjenas', '2 huevos', '1 paquete de harina de garbanzos', '1 vaso de aceite', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-berenjenas-rebozadas-sin-gluten-70620.html
¡Tradicional plato provenzal!,"El tian de verduras, también conocido como tian provenzal, es una receta de verduras francesa, concretamente de la región sureña de Provenza. En su preparación se utilizan los mismos ingredientes que en una receta de ratatouille pero, en lugar de picarlos en cubos o trozos variables, aquí los vegetales están cortados en láminas y cocinados en el horno.Antiguamente, el tian original o clásico se hacía con unos ingredientes específicos pero actualmente, es muy común utilizar los vegetales que estén de temporada, e incluso agregar algún tipo de carne, pescado, marisco o queso, como en este caso, al final del gratinado. Si no sabes cómo hacer un tian de verduras provenzal sigue el paso a paso que te enseñamos en RecetaGratis y sírvelo como entrante o guarnición de otros platos de carne o pescado para conseguir una combinación perfecta.","['1\nReúne los ingredientes para empezar a preparar el tian de verduras provenzal.\nTruco: Para conseguir una cocción homogénea y una buena presentación, elige un calabacín, una berenjena y unos tomates con el mismo grosor, es decir, cuyas láminas tengan aproximadamente el mismo diámetro.', '2\nPela la cebolla y córtala en plumas. Ponla a fuego medio-bajo en una sartén con abundante aceite de oliva (de 3 a 4 cucharadas) y saltéala durante 10 minutos, removiendo de vez en cuando para no se queme.', '3\nLuego añade los pimientos cortados en tiras y sigue rehogando por otros 5-6 minutos, o hasta que la cebolla y los pimientos estén bien pochados (como en la foto). Esparce este mezcla por el fondo de una fuente de horno de vidrio, en mi caso ovalada, y añade por encima los ajos aplastados. Esta será la base del tian provenzal.', '4\nLava y corta los tomates, la berenjena y el calabacín en rodajas no demasiado finas o demasiado gruesas. Para ello puedes utilizar una mandolina o cortador de vegetales, o simplemente un cuchillo bien afilado.\nTruco: Ves con mucho cuidado a la hora de cortar las verduras del tian provenzal para no tener accidentes en las manos.', '5\nDispón las verduras en capas alternadas sobre el rehogado de la fuente de horno como en la foto. Rocíalas con un poco de aceite, sazona con sal y tomillo y/o la mezcla de hierbas de Provenza y cubre el tian con papel de aluminio. Con el horno precalentado a 180 °C cocínalo durante 45-50 minutos.\nTruco: El orden de mis verduras fue berenjena-calabacín-tomate pero puedes cambiarlo a tu gusto, lo importante es conseguir un buen efecto visual.', '6\nDespués de ese tiempo, saca las verduras asadas y espolvorea el queso por encima. Mételas en el horno otra vez, esta vez a 200 °C durante 10-15 minutos, o hasta que el queso esté gratinado y las verduras bien horneadas.No te pierdas esta otra receta recomendada de verduras asadas con patatas si te gustan este tipo de platos.', '7\nSirve el tian de verduras provenzal como entrante o acompañamiento de otros platos como dorada al horno con patatas o un pollo al horno con cúrcuma por ejemplo. ¡Bon appetit!']","Valoración: 4,5 (2 votos)",4 comensales,45m,Acompañamiento,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas al horno']","['1 calabacín verde', '1 berenjena', '3 tomates', '1 pimiento rojo', '2 cebollas', '2 dientes de ajo', '1 puñado de queso parmesano o mozzarella rallada', '1 chorro de aceite de oliva extra virgen', 'tomillo o mezcla de hierbas provenzales', 'Sal']",https://www.recetasgratis.net/receta-de-tian-de-verduras-70627.html
"Tradicional, ¡muy fácil!","Samfaina, o sanfaina, es una preparación de verduras muy típica de la zona de Cataluña. Un plato que nos vale para acompañar platos de carne o de pescado o también comerlo solo.Ahora es tiempo de aprovechar las verduras que tenemos en el mercado de temporada, de manera que se puede hacer bastante cantidad de samfaina casera y envasarla o congelarla para, así, tener todo el año. Es un plato con mucho sabor, está riquísimo y es sencillo de preparar. Sigue leyendo y descubre en RecetasGratis cómo hacer samfaina catalana.","['1\nPara empezar la receta de samfaina de verduras, ponemos una sartén con un buen chorro de aceite, picamos la cebolla, el pimiento rojo y el pimiento verde. Cuando esté caliente el aceite añadimos las verduras picadas y dejamos que se cocinen un poco.', '2\nMientras, cortamos el resto de las verduras, la berenjena y el calabacín, y añadimos los ingredientes de la samfaina a la sartén.', '3\nPelamos los tomates y lo picamos o trituramos, podemos quitar las pepitas. Cuando las verduras de la sartén estén ya blanditas, añadimos el tomate, un poco de sal y las cucharadas de tomate frito. Lo dejamos cocinar todo hasta que veamos que se quedan todas las verduras bien hechas.', '4\nSi quedara muy seca la receta de samfaina catalana, se le puede añadir un poco de agua y si os gusta más fuerte de tomate se le añade más tomate frito. ¡Y listo para comer! Ahora que sabéis cómo hacer samfaina, ¿a qué esperáis para probarla? Es muy sencilla e ideal para acompañar unas salchichas con cebolla y vino, unos rollitos de lomo con queso o la preparación que más nos guste. Por supuesto, se puede comer sola o con platos vegetarianos.Visita mi blog Cocinando con Montse y disfruta de mis recetas.']",,4 comensales,45m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recetas españolas', 'Recetas catalanas']","['1 berenjena', '2 calabacines', '1 pimiento rojo', '2 pimientos verdes', '2 cebollas', '5 tomates maduros', '3 cucharadas soperas de tomate frito', '1 chorro de aceite de oliva', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-samfaina-catalana-70583.html
¡No has probado nada igual!,"Hace unas semanas os traía unas deliciosas hamburguesas veganas de judías y quinoa y su fabulosa salsa. Pues bien, me quedaba por enseñaros la guarnición con las que las acompaño. Si os comentaba entonces lo fantásticas que son las hamburguesas, os cuento en esta ocasión que esta guarnición no las desmerece en lo más mínimo. En serio, no habéis probado nada igual. Quedan espectaculares y yo de hecho he de reconocer que me he vuelto adicta, je, je. ¡En serio! Más fáciles imposible y además os enseño un truquillo para hacerlas en nada de tiempo. Más sanas que las patatas fritas al no ir fritas y llevar muy poco aceite y mucho más buenas. De verdad, van a cambiar vuestra vida :), así que seguid leyendo y descubrid en RecetasGratis cómo hacer patatas deluxe especiadas.","['1\nAntes de nada, cabe destacar que las cantidades de los ingredientes irán en función del número de comensales. Dicho esto, lavamos y pelamos las patatas (con piel también quedan muy buenas). Las cortamos en gajos para hacer las patatas deluxe especiadas, o en la forma que nos guste.', '2\nHay dos maneras de hacer la receta de patatas deluxe especiadas. Condimentarlas y meterlas directamente al horno, como hice yo esta vez, o meter primero las patatas al microondas unos 4 minutos. Después, las condimentamos y al horno. De esta forma el tiempo de horneado disminuirá considerablemente, quedando tan ricas como de la primera manera.Si decidimos meterlas al microondas primero, lo haremos tal cual, sin añadir nada, una vez estén cortadas en gajos. Después del microondas, las ponemos sobre una fuente de horno con papel vegetal y las condimentamos al gusto. Mezclamos.', '3\nA continuación, añadimos un chorro de aceite de oliva (sin pasarse) y mezclamos otra vez. Metemos al horno ya caliente a 200 ºC durante unos 40 - 50 minutos (si no las hemos metido primero al microondas) o durante unos 20 - 25 si están precocidas. A mitad de tiempo las removeremos para que se doren uniformemente, por todos los lados. El tiempo es orientativo, puede variar según el horno. Cuando veamos que las patatas deluxe especiadas tienen el tono dorado y el aspecto crujiente que nos gusta las sacamos y servimos inmediatamente (¡cuidado que queman!)', '4\nAhora que sabemos cómo hacer patatas deluxe especiadas, las servimos con ketchup, salsa especial de hamburguesa o, incluso, con guacamole casero. O sin nada, porque están tan buenas y tienen tanto sabor que no necesitan condimento alguno para disfrutarlas al máximo. ¡Fabulosas!¡No os olvidéis de pasaros por mi blog Mins Cocina para ver más recetas estupendas como esta! :)']","Valoración: 3,5 (2 votos)",1 comensal,45m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin gluten', 'Recetas al horno']","['2 patatas', 'Comino en polvo', 'Pimentón dulce (o ahumado)', 'Pimienta negra molida', 'Sal', 'Aceite de oliva', '1 pizca de jengibre en polvo (opcional)']",https://www.recetasgratis.net/receta-de-patatas-deluxe-especiadas-70523.html
Patatas al horno con salsa de garbanzos,"Este plato de patatas es a la vez sencillo y delicioso. Las patatas son preparadas al horno y servidas con una salsa nutritiva de garbanzos, espárragos trigueros y nueces, que también queda estupenda con otras preparaciones, por ejempo, con carnes vegetales. Es un plato saciante, puesto que integra varios ingredientes de índice glucémico bajo. Además, es una manera excelente de incorporar legumbres y más vegetales a tu dieta, así que sigue leyendo y descubre cómo hacer patatas al horno con salsa de garbanzos en RecetasGratis.","['1\nPela las patatas y córtalas en trozos medianos. Coloca las patatas en la bandeja del horno, echa un chorro de aceite y remueve. Precalienta el horno a 180 grados y hornea las patatas hasta que queden blandas durante media hora.', '2\nMientras tanto, corta la cebolla morada en dados y el ajo en láminas. Calienta una sartén con aceite y sofríe la cebolla y el ajo hasta que se doren. Una vez listas las patatas, incorpóralas en la sartén con el sofrito y remueve para seguir con la receta de patatas al horno con salsa de nueces y garbanzos.', '3\nPor otro lado, tuesta los nueces en una sartén caliente y separa la mitad para decorar. También asa los espárragos trigueros en la sartén hasta que queden blandos. Reserva la mitad de los espárragos, corta la otra mitad en trozos pequeños y colócalos en el vaso de la batidora.', '4\nJunto con los espárragos, coloca en la batidora los demás ingredientes para la salsa: los garbanzos cocidos, el zumo de medio limón, la sal, la pimienta, las nueces, un chorro de aceite, de vino blanco y un poco de agua. Tritura los ingredientes hasta que se quede una mezcla homogénea. Añade un poco más agua o aceite para regular la textura.', '5\nColoca las patatas en un recipiente y cúbrelas con la salsa. Coloca encima los espárragos y las nueces que habíamos reservado para mejorar la presentación del plato de patatas con salsa de garbanzos.', '6\nHornea las patatas durante 10 minutos y sírvelas. Esta receta de patatas al horno con salsa de garbanzos y nueces es espectacular. Podemos acompañarla con un filete de pescado vegano, un poco de arroz egipcio o lo que más nos guste. Pásate por mi blog Vegspiration para descubrir todas mis recetas.']",,2 comensales,1h 30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['1 cebolla morada', '2 dientes de ajo', '1 manojo de espárragos trigueros', '6 patatas', '½ taza de garbanzos cocidos', '4 cucharadas soperas de aceite', '2 dientes de ajo', '½ limón (zumo)', '1 puñado de nueces', '1 chorro de vino blanco', '½ cucharadita de sal', '1 pizca de pimienta negra', '1 chorro de agua']",https://www.recetasgratis.net/receta-de-patatas-al-horno-con-salsa-de-garbanzos-70570.html
"Fácil, económica y nutritiva","¡En RecetasGratis nos encanta el brócoli! Por ello intentamos incluirlo en múltiples recetas como esta, con arroz y pollo, dos ingredientes muy beneficiosos para la salud. Para hacer el plato todavía más saludable, hemos decidido utilizar arroz integral, aunque si no dispones de este ingrediente siempre puedes usar arroz común.¿Te apetece probar un plato sencillo a la par que delicioso y nutritivo? Sigue leyendo y descubre con nosotros cómo hacer arroz con pollo y brócoli, ¡te encantará!","['1\n¿Cómo hacer arroz integral con pollo y brócoli? El primer paso es dejar el arroz integral en agua durante 3-4 horas. Es importante llevar a cabo este paso porque, al tratarse de un tipo de arroz no procesado, contiene ácido fítico o fitato que dificulta la absorción de algunos nutrientes. Dejar el arroz en remojo ayuda a eliminar este ácido y, a su vez, hace que sea más fácil cocinarlo. No obstante, cabe puntualizar que las cantidades que empleamos para cocinar, en general, no son dañinas e, incluso, podríamos saltarnos este paso si no disponemos de mucho tiempo; si no tenemos prisa, aconsejamos realizarlo.', '2\nPasado el tiempo de remojo, pica la cebolla y sofríela en una sartén con aceite caliente. Cuando esté transparente, añade el agua caliente con cuidado y condimenta con sal al gusto. Y si quieres dar todavía más sabor a la receta de arroz con brócoli y pollo, añade un poco de puerro picado.', '3\nJusto después de añadir el agua caliente, agrega el arroz, sube la temperatura del fuego y espera a que hierva. Una vez que empiece a hervir, deberás cocinar el arroz integral a fuego medio, agregando también los dientes de ajo pelados.\nTruco: Agrega una hoja de laurel al arroz para potenciar el sabor.', '4\nMientras se cocina el arroz, aprovecha para lavar y cortar el brócoli al gusto. Ahora tienes dos opciones, cocinar el brócoli junto con el arroz una vez que el agua empiece a hervir o cocerlo aparte. En caso de querer cocinar el arroz con brócoli, deberás verter un poco más de agua. Nosotros recomendamos cocinar los ingredientes por separado para garantizar que el arroz queda suelto.', '5\nCuando el agua empiece a hervir recuerda bajar el fuego. Así mismo, tapa la olla y deja cocinar durante 15-20 minutos. Una vez que no quede agua, apaga el fuego y deja el arroz tapado durante 10 minutos más.', '6\nAparte, cuece el pollo y deshébralo o córtalo a tiras y saltéalas en una sartén con aceite caliente. Hecho esto, solo queda mezclar todos los componentes del plato y condimentar con pimienta al gusto. Esta receta de arroz con brócoli y pollo es muy fácil de hacer, queda deliciosa y es nutritiva. Para que sea apta para adelgazar es recomendable reducir las cucharadas de aceite a dos. Puedes acompañar el plato con una hamburguesa vegetal, como por ejemplo una hamburguesa de quinoa o una hamburguesa de lentejas.']",Valoración: 4 (2 votos),2 comensales,30m,Plato principal,Dificultad baja,,['Recomendada para perder peso'],"['1 vaso de arroz integral', '½ brócoli', '2 dientes de ajo machacados', '4 cucharadas soperas de aceite de oliva', '1 cebolla pequeña picada', '2 vasos de agua hirviendo', '1 cucharada postre de sal', '1 pizca de pimienta negra a gusto', '2 filetes de pechuga de pollo']",https://www.recetasgratis.net/receta-de-arroz-con-brocoli-y-pollo-70549.html
